log,name,latestChapter
2024-02-20 17:39:43.958591,Filiarose – The Crown of Thorns Prophecy,104
2024-02-20 17:39:43.958591,Genius of the Unique Lineage,53
2024-02-20 17:39:43.958591,He_s Not Just a Pretty Face,60
2024-02-20 17:39:43.959588,How to Clear a Dating Sim as a Side Character,117
2024-02-20 17:39:43.959588,I Tamed My Ex-Husband_s Mad Dog,63
2024-02-20 17:39:43.959588,Marronnier Farm Near by the Imperial Palace,63
2024-02-20 17:39:43.959588,Materialistic Princess,39
2024-02-20 17:39:43.959588,Melody of the Deadwood,85
2024-02-20 17:39:43.959588,MOONLIGHT LIBRARY,42
2024-02-20 17:39:43.960586,Please Don’t Come To The Villainess’ Stationery Store!,66
2024-02-20 17:39:43.962590,The Duchess_ Secret Writings,57
2024-02-20 17:39:43.964575,The Secret Life of a Certain Count’s Lady,73
2024-02-20 17:39:43.964575,What I Decided to Die For,95
2024-02-20 17:39:43.965579,"When I Quit Being A Wicked Mother-in-law, Everyone Became Obsessed With Me",53
